X,Y,OBJECTID,ID,Category
75.041427612194582,12.895889282064784,2001,71482,405
75.071640014375248,12.84507751451571,2002,71793,405
75.071510000286366,12.846788999912462,2003,71791,405
75.072165999960987,12.852850999773864,2004,71806,405
75.04030600022179,12.911613999986171,2005,71478,405
75.040756000289264,12.944672000112748,2006,71480,405
75.077018999827033,12.910810999827843,2007,71856,405
74.976882934399953,13.062057494957457,2008,70752,405
74.996109008923668,13.06617736839087,2009,70953,405
74.990615844645561,13.067550659235566,2010,70886,405
74.991989135490257,13.067550659235566,2011,70901,405
74.994735718078971,13.067550659235565,2012,70932,405
74.998616000428115,13.067920000008032,2013,70987,405
74.998168999599727,13.06961099974791,2014,70983,405
74.998168999599727,13.070296999906645,2015,70984,405
75.01116199982647,13.057171999887942,2016,71134,405
75.210866000165822,12.96433500036005,2017,73572,405
75.235061645578526,13.005752563130327,2018,73772,405
75.281753539694137,12.639083862630228,2019,74179,405
75.294113159095048,12.628097534074017,2020,74292,405
75.308749000366106,12.584349999652828,2021,74436,405
75.332565307243215,12.595138550203954,2022,74732,405
75.328445434709124,12.600631713582743,2023,74683,405
75.306472778496016,12.618484497261761,2024,74400,405
75.308533000297757,12.617110999573017,2025,74434,405
75.244674682390723,12.836837768548209,2026,73865,405
75.24604797323542,12.836837768548211,2027,73879,405
75.250853999712376,12.836837999674003,2028,73922,405
75.251541137513527,12.836837768548207,2029,73925,405
75.252228000122159,12.836837999674003,2030,73935,405
75.254287720102241,12.836837768548209,2031,73954,405
75.259780883481028,12.838211059392904,2032,74004,405
75.261154175225045,12.836837768548207,2033,74014,405
75.262527466069741,12.835464477703511,2034,74026,405
75.266647338603832,12.838211059392904,2035,74063,405
75.288619994816941,12.842330932826314,2036,74253,405
75.395736694193147,12.836837768548211,2037,75695,405
75.403976440160648,12.834091186858814,2038,75783,405
75.403976440160648,12.836837768548209,2039,75784,405
75.406723022749361,12.839584350237601,2040,75816,405
75.408782999935568,12.834090999799855,2041,75842,405
75.43281555149656,12.825851439991993,2042,76084,405
75.305099487651319,12.847824097104422,2043,74384,405
75.309219360185409,12.84782409710442,2044,74439,405
75.310592651030106,12.849197387949118,2045,74454,405
75.320205688741623,12.849197387949118,2046,74584,405
75.365524292012537,12.967300414982221,2047,75228,405
75.36003112773443,12.971420288415629,2048,75133,405
75.362777710323144,12.971420288415629,2049,75174,405
75.251541137513527,12.990646362040025,2050,73926,405
75.244674682390723,12.99613952631813,2051,73866,405
75.24604797323542,12.996139526318132,2052,73880,405
75.252914428358224,12.987899780350629,2053,73939,405
75.265900000184899,12.989017000034551,2054,74058,405
75.252914428358224,12.993392944628736,2055,73940,405
75.28038024884944,12.990646362040026,2056,74162,405
75.287246703972244,12.992019652884721,2057,74239,405
75.289993286560957,12.992019652884721,2058,74264,405
75.291366577405654,12.99201965288472,2059,74274,405
75.300979614217852,12.99201965288472,2060,74340,405
75.311965942774123,12.994766235473433,2061,74466,405
75.324325561275714,12.997512817162827,2062,74646,405
75.31745910615291,13.003005981440936,2063,74534,405
75.328445000336558,12.995224000287408,2064,74680,405
75.329818725553821,12.998886108007527,2065,74698,405
75.329818725553821,13.01399230999715,2066,74699,405
75.328445434709124,13.022232055964647,2067,74684,405
75.349044800077536,12.983779906917221,2068,74944,405
75.346298217488823,12.987899780350629,2069,74895,405
75.347671509232839,12.98652648950593,2070,74917,405
75.349044800077536,12.985153198661237,2071,74945,405
75.335311889831928,12.997512817162828,2072,74758,405
75.350418090922233,12.981033325227827,2073,74969,405
75.348357000375302,13.013305999572255,2074,74940,405
75.414962768716862,12.85194396963851,2075,75926,405
75.403976440160648,12.8986358646535,2076,75785,405
75.385436999817728,12.928847999735469,2077,75547,405
75.374451000413387,12.959060999965232,2078,75402,405
75.379257202258145,12.956314087325325,2079,75467,405
75.366897582857234,12.963180541548809,2080,75260,405
75.369644165445948,12.963180541548807,2081,75316,405
75.370331000175554,12.963181000203065,2082,75330,405
75.373764037980038,12.960433959859415,2083,75389,405
75.383377074792236,12.952194213891916,2084,75518,405
75.39436340334845,12.950820923047216,2085,75683,405
75.403976440160648,12.921981811711305,2086,75786,405
75.405349731005344,12.926101684245392,2087,75800,405
74.996558999997887,13.130946999904157,2088,70971,405
74.993139999711275,13.185759999624338,2089,70916,405
74.996109008923668,13.195266723980183,2090,70954,405
74.996109008923668,13.196640014824879,2091,70955,405
74.997482299768365,13.195266723980183,2092,70975,405
74.997482299768365,13.196640014824878,2093,70976,405
74.991989135490257,13.20487976079238,2094,70902,405
74.979629516988666,13.221359252727382,2095,70772,405
74.98237609867806,13.210372925070486,2096,70798,405
74.987869262956167,13.219985961882687,2097,70857,405
74.985122680367454,13.226852417005489,2098,70824,405
74.982375999752662,13.230285999799095,2099,70795,405
